locationdesc,category,response,age,gender,raceethnicity,data_value(%),low_confidence_limit,high_confidence_limit,numerator,sample_size,locationid,longitude,latitude
District Of Columbia,Diabetic Eye Diseases,Proliferative diabetic retinopathy,85 years and older,Male,"White, non-Hispanic",0.0,0.0,0.7,50.0,1300.0,11,-77.03196112699,38.890371385
Colorado,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,All ages,All genders,"Hispanic, any race",0.09,0.07,0.11,120.0,135200.0,8,-106.1336109209,38.843840757
National,Cornea Disorders,Other corneal disorders,65-84 years,All genders,"Black, non-Hispanic",0.81,0.74,0.89,500.0,60900.0,59,-93.23609634939444,40.43953357133333
New Hampshire,Other Visual Disturbances,Visual field defect,18 years and older,Male,North American Native,0.0,0.0,1.48,40.0,250.0,33,-71.50036091999,43.655950113
New Mexico,Orbital and External Disease,Disorders of the globe,65-84 years,Male,"Black, non-Hispanic",0.07,0.04,0.29,80.0,11900.0,35,-106.2405809849,34.520880952
New Jersey,Cornea Disorders,Corneal transplant,40 years and older,Female,North American Native,0.0,0.0,0.57,120.0,650.0,34,-74.27369128799,40.130570048
Idaho,Other Retinal Disorders,All Other retinal disorders,40-64 years,All genders,"Hispanic, any race",0.02,0.01,0.87,60.0,1600.0,16,-114.3637300419,43.682630005
New Jersey,Retinal Detachment and Defects,Retinal detachment and defects,18-39 years,All genders,North American Native,0.22,0.04,0.63,120.0,1400.0,34,-74.27369128799,40.130570048
Georgia,Cornea Disorders,Keratoconus,40-64 years,Male,"Hispanic, any race",0.0,0.0,2.29,90.0,160.0,13,-83.62758034599,32.839681093
Idaho,Age Related Macular Degeneration,Choroidal neovascularization,40 years and older,All genders,"Hispanic, any race",0.02,0.01,0.87,60.0,1600.0,16,-114.3637300419,43.682630005
North Carolina,Other Retinal Disorders,Occlusive retinal vascular disease,65 years and older,Female,"Hispanic, any race",0.0,0.0,2.16,70.0,170.0,37,-79.15925046299,35.466220975
Oregon,Age Related Macular Degeneration,Unspecified-age related macular degeneration,85 years and older,Male,All races,0.0,0.0,4.86,70.0,70.0,41,-120.1550313259,44.567449424
Nebraska,Age Related Macular Degeneration,Advanced GA or Inactive CNV,40 years and older,All genders,Asian,0.0,0.0,0.68,30.0,1900.0,31,-99.36572062299,41.641040988
Georgia,Diabetic Eye Diseases,Severe non-proliferative,18-39 years,Male,Other,0.0,0.0,3.45,90.0,110.0,13,-83.62758034599,32.839681093
Michigan,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,All ages,All genders,Asian,0.1,0.06,0.18,10.0,13400.0,26,-84.71439026999,44.661319543
Idaho,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,18-39 years,Male,"Hispanic, any race",0.02,0.01,0.87,60.0,1600.0,16,-114.3637300419,43.682630005
Oregon,Diabetic Eye Diseases,Non-vision threatening stage,All ages,Male,"Hispanic, any race",0.18,0.16,0.2,330.0,182900.0,41,-120.1550313259,44.567449424
